Match_id,Match,Team1,Team2,Venue,City,Winner,Won_By,Player_of_the_Match,Match_Info
1,ENGLAND vs NEW ZEALAND,England,New zealand,Narendra Modi Stadium,Ahmedabad,New Zealand,9 wkts,Rachin Ravindra,https://www.cricbuzz.com/live-cricket-scorecard/75413/eng-vs-nz-1st-match-icc-cricket-world-cup-2023
2,PAKISTAN vs NETHERLANDS,Pakistan,Netherlands,Rajiv Gandhi International Stadium,Hyderabad,Pakistan,81 runs,Saud Shakeel,https://www.cricbuzz.com/live-cricket-scorecard/75420/pak-vs-ned-2nd-match-icc-cricket-world-cup-2023
3,BANGLADESH vs AFGHANISTAN,Bangladesh,Afghanistan,Himachal Pradesh Cricket Association Stadium,Dharamsala,Bangladesh,6 wkts,Mehidy Hasan Miraz,https://www.cricbuzz.com/live-cricket-scorecard/75427/ban-vs-afg-3rd-match-icc-cricket-world-cup-2023
4,SOUTH AFRICA vs SRI LANKA,South africa,Sri lanka,Arun Jaitley Stadium,Delhi,South Africa,102 runs,Aiden Markram,https://www.cricbuzz.com/live-cricket-scorecard/75434/rsa-vs-sl-4th-match-icc-cricket-world-cup-2023
5,INDIA vs AUSTRALIA,India,Australia,MA Chidambaram Stadium,Chennai,India,6 wkts,KL Rahul,https://www.cricbuzz.com/live-cricket-scorecard/75437/ind-vs-aus-5th-match-icc-cricket-world-cup-2023
6,NEW ZEALAND vs NETHERLANDS,New zealand,Netherlands,Rajiv Gandhi International Stadium,Hyderabad,New Zealand,99 runs,Mitchell Santner,https://www.cricbuzz.com/live-cricket-scorecard/75444/nz-vs-ned-6th-match-icc-cricket-world-cup-2023
7,ENGLAND vs BANGLADESH,England,Bangladesh,Himachal Pradesh Cricket Association Stadium,Dharamsala,England,137 runs,Dawid Malan,https://www.cricbuzz.com/live-cricket-scorecard/75451/eng-vs-ban-7th-match-icc-cricket-world-cup-2023
8,PAKISTAN vs SRI LANKA,Pakistan,Sri lanka,Rajiv Gandhi International Stadium,Hyderabad,Pakistan,6 wkts,Mohammad Rizwan,https://www.cricbuzz.com/live-cricket-scorecard/75462/pak-vs-sl-8th-match-icc-cricket-world-cup-2023
9,INDIA vs AFGHANISTAN,India,Afghanistan,Arun Jaitley Stadium,Delhi,India,8 wkts,Rohit Sharma,https://www.cricbuzz.com/live-cricket-scorecard/75458/ind-vs-afg-9th-match-icc-cricket-world-cup-2023
10,AUSTRALIA vs SOUTH AFRICA,Australia,South africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,South Africa,134 runs,Quinton de Kock,https://www.cricbuzz.com/live-cricket-scorecard/75465/aus-vs-rsa-10th-match-icc-cricket-world-cup-2023
11,NEW ZEALAND vs BANGLADESH,New zealand,Bangladesh,MA Chidambaram Stadium,Chennai,New Zealand,8 wkts,Lockie Ferguson,https://www.cricbuzz.com/live-cricket-scorecard/75469/nz-vs-ban-11th-match-icc-cricket-world-cup-2023
12,INDIA vs PAKISTAN,India,Pakistan,Narendra Modi Stadium,Ahmedabad,India,7 wkts,Jasprit Bumrah,https://www.cricbuzz.com/live-cricket-scorecard/75476/ind-vs-pak-12th-match-icc-cricket-world-cup-2023
13,ENGLAND vs AFGHANISTAN,England,Afghanistan,Arun Jaitley Stadium,Delhi,Afghanistan,69 runs,Mujeeb Ur Rahman,https://www.cricbuzz.com/live-cricket-scorecard/75472/eng-vs-afg-13th-match-icc-cricket-world-cup-2023
14,AUSTRALIA vs SRI LANKA,Australia,Sri lanka,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Australia,5 wkts,Adam Zampa,https://www.cricbuzz.com/live-cricket-scorecard/75479/aus-vs-sl-14th-match-icc-cricket-world-cup-2023
15,SOUTH AFRICA vs NETHERLANDS,South africa,Netherlands,Himachal Pradesh Cricket Association Stadium,Dharamsala,Netherlands,38 runs (43 overs match),Scott Edwards,https://www.cricbuzz.com/live-cricket-scorecard/75486/rsa-vs-ned-15th-match-icc-cricket-world-cup-2023
16,NEW ZEALAND vs AFGHANISTAN,New zealand,Afghanistan,MA Chidambaram Stadium,Chennai,New Zealand,149 runs,Glenn Phillips,https://www.cricbuzz.com/live-cricket-scorecard/75490/nz-vs-afg-16th-match-icc-cricket-world-cup-2023
17,INDIA vs BANGLADESH,India,Bangladesh,Maharashtra Cricket Association Stadium,Pune,India,7 wkts,Virat Kohli,https://www.cricbuzz.com/live-cricket-scorecard/75493/ind-vs-ban-17th-match-icc-cricket-world-cup-2023
18,AUSTRALIA vs PAKISTAN,Australia,Pakistan,M.Chinnaswamy Stadium,Bengaluru,Australia,62 runs,David Warner,https://www.cricbuzz.com/live-cricket-scorecard/75497/aus-vs-pak-18th-match-icc-cricket-world-cup-2023
19,NETHERLANDS vs SRI LANKA,Netherlands,Sri lanka,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sri Lanka,5 wkts,Sadeera Samarawickrama,https://www.cricbuzz.com/live-cricket-scorecard/75507/ned-vs-sl-19th-match-icc-cricket-world-cup-2023
20,ENGLAND vs SOUTH AFRICA,England,South africa,Wankhede Stadium,Mumbai,South Africa,229 runs,Heinrich Klaasen,https://www.cricbuzz.com/live-cricket-scorecard/75504/eng-vs-rsa-20th-match-icc-cricket-world-cup-2023
21,INDIA vs NEW ZEALAND,India,New zealand,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,4 wkts,Mohammed Shami,https://www.cricbuzz.com/live-cricket-scorecard/75511/ind-vs-nz-21st-match-icc-cricket-world-cup-2023
22,PAKISTAN vs AFGHANISTAN,Pakistan,Afghanistan,MA Chidambaram Stadium,Chennai,Afghanistan,8 wkts,Ibrahim Zadran,https://www.cricbuzz.com/live-cricket-scorecard/75518/pak-vs-afg-22nd-match-icc-cricket-world-cup-2023
23,SOUTH AFRICA vs BANGLADESH,South africa,Bangladesh,Wankhede Stadium,Mumbai,South Africa,149 runs,Quinton de Kock,https://www.cricbuzz.com/live-cricket-scorecard/75521/rsa-vs-ban-23rd-match-icc-cricket-world-cup-2023
24,AUSTRALIA vs NETHERLANDS,Australia,Netherlands,Arun Jaitley Stadium,Delhi,Australia,309 runs,Glenn Maxwell,https://www.cricbuzz.com/live-cricket-scorecard/75525/aus-vs-ned-24th-match-icc-cricket-world-cup-2023
25,ENGLAND vs SRI LANKA,England,Sri lanka,M.Chinnaswamy Stadium,Bengaluru,Sri Lanka,8 wkts,Lahiru Kumara,https://www.cricbuzz.com/live-cricket-scorecard/75539/eng-vs-sl-25th-match-icc-cricket-world-cup-2023
26,PAKISTAN vs SOUTH AFRICA,Pakistan,South africa,MA Chidambaram Stadium,Chennai,South Africa,1 wkt,Tabraiz Shamsi,https://www.cricbuzz.com/live-cricket-scorecard/75535/pak-vs-rsa-26th-match-icc-cricket-world-cup-2023
27,AUSTRALIA vs NEW ZEALAND,Australia,New zealand,Himachal Pradesh Cricket Association Stadium,Dharamsala,Australia,5 runs,Travis Head,https://www.cricbuzz.com/live-cricket-scorecard/75532/aus-vs-nz-27th-match-icc-cricket-world-cup-2023
28,NETHERLANDS vs BANGLADESH,Netherlands,Bangladesh,Eden Gardens,Kolkata,Netherlands,87 runs,Paul van Meekeren,https://www.cricbuzz.com/live-cricket-scorecard/75553/ned-vs-ban-28th-match-icc-cricket-world-cup-2023
29,INDIA vs ENGLAND,India,England,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,100 runs,Rohit Sharma,https://www.cricbuzz.com/live-cricket-scorecard/75542/ind-vs-eng-29th-match-icc-cricket-world-cup-2023
30,AFGHANISTAN vs SRI LANKA,Afghanistan,Sri lanka,Maharashtra Cricket Association Stadium,Pune,Afghanistan,7 wkts,Fazalhaq Farooqi,https://www.cricbuzz.com/live-cricket-scorecard/75549/afg-vs-sl-30th-match-icc-cricket-world-cup-2023
31,PAKISTAN vs BANGLADESH,Pakistan,Bangladesh,Eden Gardens,Kolkata,Pakistan,7 wkts,Fakhar Zaman,https://www.cricbuzz.com/live-cricket-scorecard/75560/pak-vs-ban-31st-match-icc-cricket-world-cup-2023
32,NEW ZEALAND vs SOUTH AFRICA,New zealand,South africa,Maharashtra Cricket Association Stadium,Pune,South Africa,190 runs,Rassie van der Dussen,https://www.cricbuzz.com/live-cricket-scorecard/75567/nz-vs-rsa-32nd-match-icc-cricket-world-cup-2023
33,INDIA vs SRI LANKA,India,Sri lanka,Wankhede Stadium,Mumbai,India,302 runs,Mohammed Shami,https://www.cricbuzz.com/live-cricket-scorecard/75563/ind-vs-sl-33rd-match-icc-cricket-world-cup-2023
34,NETHERLANDS vs AFGHANISTAN,Netherlands,Afghanistan,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,7 wkts,Mohammad Nabi,https://www.cricbuzz.com/live-cricket-scorecard/75570/ned-vs-afg-34th-match-icc-cricket-world-cup-2023
35,NEW ZEALAND vs PAKISTAN,New zealand,Pakistan,M.Chinnaswamy Stadium,Bengaluru,Pakistan,21 runs - DLS method,Fakhar Zaman,https://www.cricbuzz.com/live-cricket-scorecard/75577/nz-vs-pak-35th-match-icc-cricket-world-cup-2023
36,ENGLAND vs AUSTRALIA,England,Australia,Narendra Modi Stadium,Ahmedabad,Australia,33 runs,Adam Zampa,https://www.cricbuzz.com/live-cricket-scorecard/75574/eng-vs-aus-36th-match-icc-cricket-world-cup-2023
37,INDIA vs SOUTH AFRICA,India,South africa,Eden Gardens,Kolkata,India,243 runs,Virat Kohli,https://www.cricbuzz.com/live-cricket-scorecard/75581/ind-vs-rsa-37th-match-icc-cricket-world-cup-2023
38,BANGLADESH vs SRI LANKA,Bangladesh,Sri lanka,Arun Jaitley Stadium,Delhi,Bangladesh,3 wkts,Shakib Al Hasan,https://www.cricbuzz.com/live-cricket-scorecard/75588/ban-vs-sl-38th-match-icc-cricket-world-cup-2023
39,AUSTRALIA vs AFGHANISTAN,Australia,Afghanistan,Wankhede Stadium,Mumbai,Australia,3 wkts,Glenn Maxwell,https://www.cricbuzz.com/live-cricket-scorecard/75609/aus-vs-afg-39th-match-icc-cricket-world-cup-2023
40,ENGLAND vs NETHERLANDS,England,Netherlands,Maharashtra Cricket Association Stadium,Pune,England,160 runs,Ben Stokes,https://www.cricbuzz.com/live-cricket-scorecard/75595/eng-vs-ned-40th-match-icc-cricket-world-cup-2023
41,NEW ZEALAND vs SRI LANKA,New zealand,Sri lanka,M.Chinnaswamy Stadium,Bengaluru,New Zealand,5 wkts,Trent Boult,https://www.cricbuzz.com/live-cricket-scorecard/75602/nz-vs-sl-41st-match-icc-cricket-world-cup-2023
42,SOUTH AFRICA vs AFGHANISTAN,South africa,Afghanistan,Narendra Modi Stadium,Ahmedabad,South Africa,5 wkts,Rassie van der Dussen,https://www.cricbuzz.com/live-cricket-scorecard/75616/rsa-vs-afg-42nd-match-icc-cricket-world-cup-2023
43,AUSTRALIA vs BANGLADESH,Australia,Bangladesh,Maharashtra Cricket Association Stadium,Pune,Australia,8 wkts,Mitchell Marsh,https://www.cricbuzz.com/live-cricket-scorecard/75633/aus-vs-ban-43rd-match-icc-cricket-world-cup-2023
44,ENGLAND vs PAKISTAN,England,Pakistan,Eden Gardens,Kolkata,England,93 runs,David Willey,https://www.cricbuzz.com/live-cricket-scorecard/75630/eng-vs-pak-44th-match-icc-cricket-world-cup-2023
45,INDIA vs NETHERLANDS,India,Netherlands,M.Chinnaswamy Stadium,Bengaluru,India,160 runs,Shreyas Iyer,https://www.cricbuzz.com/live-cricket-scorecard/75623/ind-vs-ned-45th-match-icc-cricket-world-cup-2023
46,INDIA vs NEW ZEALAND,India,New zealand,Wankhede Stadium,Mumbai,India,70 runs,Mohammed Shami,https://www.cricbuzz.com/live-cricket-scorecard/75640/ind-vs-nz-1st-semi-final-1st-v-4th-icc-cricket-world-cup-2023
47,SOUTH AFRICA vs AUSTRALIA,South africa,Australia,Eden Gardens,Kolkata,Australia,3 wkts,Travis Head,https://www.cricbuzz.com/live-cricket-scorecard/75647/rsa-vs-aus-2nd-semi-final-2nd-v-3rd-icc-cricket-world-cup-2023
48,INDIA vs AUSTRALIA,India,Australia,Narendra Modi Stadium,Ahmedabad,Australia,6 wkts,Travis Head,https://www.cricbuzz.com/live-cricket-scorecard/75651/ind-vs-aus-final-icc-cricket-world-cup-2023
